# Grid-search results — V2_LAYER_WEIGHTS sensitivity
# Generated 2026-04-30 PM. Increment=0.05, weights summing to 1.0.
# Score formula = exact_plus_half_adj (composite eval objective).
# Per position: top-N configurations, sorted by score desc.


  score=1.0062 exact=0.556 adj=0.901 n=162 | BODY=0.15 DRAFT=0.05 TRAITS=0.15 VOLUME=0.65
  score=0.9815 exact=0.531 adj=0.901 n=162 | BODY=0.15 DRAFT=0.05 TRAITS=0.10 VOLUME=0.70
  score=0.9784 exact=0.537 adj=0.883 n=162 | BODY=0.55 DRAFT=0.30 TRAITS=0.15 VOLUME=0.00
  score=0.9753 exact=0.531 adj=0.889 n=162 | BODY=0.15 DRAFT=0.10 TRAITS=0.15 VOLUME=0.60
  score=0.9753 exact=0.531 adj=0.889 n=162 | BODY=0.30 DRAFT=0.00 TRAITS=0.30 VOLUME=0.40
  score=0.9722 exact=0.525 adj=0.895 n=162 | BODY=0.60 DRAFT=0.25 TRAITS=0.15 VOLUME=0.00
  score=0.9722 exact=0.525 adj=0.895 n=162 | BODY=0.60 DRAFT=0.25 TRAITS=0.10 VOLUME=0.05
  score=0.9722 exact=0.525 adj=0.895 n=162 | BODY=0.70 DRAFT=0.10 TRAITS=0.20 VOLUME=0.00
  score=0.9722 exact=0.519 adj=0.907 n=162 | BODY=0.75 DRAFT=0.10 TRAITS=0.15 VOLUME=0.00
  score=0.9691 exact=0.525 adj=0.889 n=162 | BODY=0.65 DRAFT=0.20 TRAITS=0.00 VOLUME=0.15
  score=0.9660 exact=0.525 adj=0.883 n=162 | BODY=0.15 DRAFT=0.00 TRAITS=0.50 VOLUME=0.35
  score=0.9660 exact=0.525 adj=0.883 n=162 | BODY=0.50 DRAFT=0.20 TRAITS=0.20 VOLUME=0.10
  score=0.9660 exact=0.525 adj=0.883 n=162 | BODY=0.60 DRAFT=0.15 TRAITS=0.15 VOLUME=0.10
  score=0.9660 exact=0.512 adj=0.907 n=162 | BODY=0.60 DRAFT=0.00 TRAITS=0.25 VOLUME=0.15
  score=0.9660 exact=0.519 adj=0.895 n=162 | BODY=0.30 DRAFT=0.00 TRAITS=0.35 VOLUME=0.35
  score=0.9660 exact=0.519 adj=0.895 n=162 | BODY=0.55 DRAFT=0.00 TRAITS=0.25 VOLUME=0.20
  score=0.9630 exact=0.519 adj=0.889 n=162 | BODY=0.15 DRAFT=0.05 TRAITS=0.45 VOLUME=0.35
  score=0.9630 exact=0.519 adj=0.889 n=162 | BODY=0.25 DRAFT=0.20 TRAITS=0.00 VOLUME=0.55
  score=0.9630 exact=0.519 adj=0.889 n=162 | BODY=0.35 DRAFT=0.15 TRAITS=0.00 VOLUME=0.50
  score=0.9630 exact=0.519 adj=0.889 n=162 | BODY=0.55 DRAFT=0.25 TRAITS=0.15 VOLUME=0.05
  ... (worst: score=0.7099 | BODY=0.00 DRAFT=0.00 TRAITS=1.00 VOLUME=0.00)

=== TE (top 20 of 1211) ===
  score=1.0000 exact=0.534 adj=0.932 n=73 | BODY=0.05 DRAFT=0.30 TRAITS=0.45 VOLUME=0.20
  score=0.9863 exact=0.521 adj=0.932 n=73 | BODY=0.00 DRAFT=0.20 TRAITS=0.65 VOLUME=0.15
  score=0.9795 exact=0.507 adj=0.945 n=73 | BODY=0.00 DRAFT=0.30 TRAITS=0.55 VOLUME=0.15
  score=0.9795 exact=0.507 adj=0.945 n=73 | BODY=0.05 DRAFT=0.30 TRAITS=0.40 VOLUME=0.25
  score=0.9795 exact=0.534 adj=0.890 n=73 | BODY=0.20 DRAFT=0.25 TRAITS=0.55 VOLUME=0.00
  score=0.9795 exact=0.521 adj=0.918 n=73 | BODY=0.00 DRAFT=0.30 TRAITS=0.50 VOLUME=0.20
  score=0.9726 exact=0.507 adj=0.932 n=73 | BODY=0.00 DRAFT=0.20 TRAITS=0.70 VOLUME=0.10
  score=0.9726 exact=0.507 adj=0.932 n=73 | BODY=0.00 DRAFT=0.30 TRAITS=0.60 VOLUME=0.10
  score=0.9726 exact=0.507 adj=0.932 n=73 | BODY=0.00 DRAFT=0.25 TRAITS=0.60 VOLUME=0.15
  score=0.9658 exact=0.507 adj=0.918 n=73 | BODY=0.00 DRAFT=0.20 TRAITS=0.75 VOLUME=0.05
  score=0.9658 exact=0.507 adj=0.918 n=73 | BODY=0.00 DRAFT=0.10 TRAITS=0.70 VOLUME=0.20
  score=0.9658 exact=0.507 adj=0.918 n=73 | BODY=0.05 DRAFT=0.20 TRAITS=0.50 VOLUME=0.25
  score=0.9589 exact=0.507 adj=0.904 n=73 | BODY=0.05 DRAFT=0.20 TRAITS=0.55 VOLUME=0.20
  score=0.9589 exact=0.507 adj=0.904 n=73 | BODY=0.10 DRAFT=0.25 TRAITS=0.50 VOLUME=0.15
  score=0.9589 exact=0.493 adj=0.932 n=73 | BODY=0.00 DRAFT=0.25 TRAITS=0.65 VOLUME=0.10
  score=0.9589 exact=0.493 adj=0.932 n=73 | BODY=0.00 DRAFT=0.15 TRAITS=0.70 VOLUME=0.15
  score=0.9589 exact=0.493 adj=0.932 n=73 | BODY=0.00 DRAFT=0.25 TRAITS=0.55 VOLUME=0.20
  score=0.9589 exact=0.479 adj=0.959 n=73 | BODY=0.00 DRAFT=0.30 TRAITS=0.40 VOLUME=0.30
  score=0.9589 exact=0.493 adj=0.932 n=73 | BODY=0.05 DRAFT=0.30 TRAITS=0.50 VOLUME=0.15
  score=0.9589 exact=0.493 adj=0.932 n=73 | BODY=0.10 DRAFT=0.30 TRAITS=0.40 VOLUME=0.20
  ... (worst: score=0.6096 | BODY=0.50 DRAFT=0.05 TRAITS=0.20 VOLUME=0.25)
